employee_id,age,gender,department,position,education,years_at_company,monthly_income,performance_rating,job_satisfaction,work_life_balance,distance_from_home,overtime,promotion_last_5years,training_times_last_year,attrition
1,38,Male,Operations,Manager,High School,0.09144359889838119,100826.87461496289,4,2,1,9.576790228926628,No,1,2,0
2,33,Male,Marketing,Junior,High School,1.763812595316721,100296.17709098538,3,4,2,6.908953601194764,Yes,0,1,0
3,40,Female,HR,Manager,Bachelor,2.107284495548506,79614.10881363445,2,3,3,45.26874375384998,No,0,4,0
4,47,Female,HR,Lead,Master,0.3742421906866424,97229.2930883599,3,2,3,6.205694062649675,No,0,1,0
5,33,Male,Engineering,Manager,High School,0.5555994875288222,54142.173148985705,3,4,2,0.7723915527545411,No,1,1,0
6,33,Female,Sales,Senior,High School,1.300691135587814,89586.07446245167,4,4,3,37.884373167792795,Yes,0,4,1
7,47,Male,R&D,Senior,Master,4.302371001476299,71162.79920077581,3,4,3,18.552549862821976,No,0,5,0
8,41,Male,Finance,Manager,PhD,2.122239923040794,30000.0,4,2,3,1.9631924162244587,No,1,2,0
9,31,Female,Finance,Senior,High School,3.0475201173508766,35347.458529450916,4,1,4,23.497317661201762,No,0,1,0
10,39,Female,Engineering,Lead,Bachelor,12.634230971404788,58425.5304977695,3,4,1,4.165262892720827,Yes,1,5,0
11,31,Female,Operations,Mid-Level,High School,4.383124006993345,85378.84960871775,5,4,1,4.733885268083056,No,0,5,0
12,31,Female,Sales,Senior,Bachelor,1.709400282369861,58448.00529165077,3,2,2,23.686338992345952,No,0,1,0
13,36,Male,Marketing,Senior,Bachelor,1.774165810003749,60222.08156538228,3,1,1,7.552684975660894,No,1,3,0
14,19,Female,Operations,Manager,High School,2.893073579189971,94081.52304687105,3,1,3,1.482250222309548,Yes,0,7,1
15,21,Male,Operations,Lead,High School,3.284146548642574,61124.697013757825,2,5,2,4.605384209433934,Yes,0,3,0
16,30,Female,Engineering,Mid-Level,Bachelor,2.0837101320707077,108270.18105086028,2,4,2,12.804847528836046,No,0,2,0
17,26,Male,Engineering,Manager,Master,3.1057399327462116,104128.09349550336,3,5,1,1.9138351830248137,No,0,2,1
18,37,Female,Finance,Manager,Master,0.07144141688640838,75547.03301428296,4,2,2,8.921621744460612,No,0,5,0
19,27,Male,Engineering,Director,High School,1.6843724839681768,93836.53629145822,5,5,3,11.883427030735962,Yes,1,2,0
20,23,Female,Engineering,Lead,PhD,0.9810907776540974,90431.01135890954,4,2,3,4.213713069308898,No,1,2,0
21,46,Male,Engineering,Mid-Level,Master,0.4149408112609798,68858.36810101492,2,3,1,11.837803468414654,No,1,3,1
22,33,Female,Finance,Lead,High School,0.3145703037093539,96540.86657430365,4,4,1,21.559542031584616,No,0,2,1
